outer_fold,case_id,outer_role,inner_validation_fold,complete_trajectory,response_used_to_construct_assignment,historically_response_exposed
0,V52_A_E3_C6_1T,development_pool,3,True,False,True
0,V52_A_E4_C7_1T,evaluation_once,,True,False,True
0,V52_A_E5_C9_1T,evaluation_once,,True,False,True
0,V52_A_E6_C10_1T,development_pool,0,True,False,True
0,V52_A_E7_C11_2T,development_pool,0,True,False,True
0,V52_A_E8_C12_2T,development_pool,3,True,False,True
0,V52_B_E1_C4_2T,development_pool,3,True,False,True
0,V52_B_E2_C5_2T,development_pool,2,True,False,True
0,V52_B_E3_C6_1T,evaluation_once,,True,False,True
0,V52_B_E4_C7_1T,development_pool,3,True,False,True
0,V52_B_E5_C9_1T,development_pool,1,True,False,True
0,V52_B_E6_C10_1T,evaluation_once,,True,False,True
0,V52_B_E7_C11_2T,development_pool,1,True,False,True
0,V52_B_E8_C12_2T,development_pool,0,True,False,True
0,V52_CPLUS_E1_C4_2T,development_pool,2,True,False,True
0,V52_CPLUS_E2_C5_2T,evaluation_once,,True,False,True
0,V52_CPLUS_E3_C6_1T,development_pool,1,True,False,True
0,V52_CPLUS_E4_C7_1T,development_pool,2,True,False,True
0,V52_CPLUS_E5_C9_1T,development_pool,0,True,False,True
0,V52_CPLUS_E6_C10_1T,development_pool,3,True,False,True
0,V52_CPLUS_E7_C11_2T,development_pool,1,True,False,True
0,V52_CPLUS_E8_C12_2T,evaluation_once,,True,False,True
0,V52_C_E1_C4_2T,development_pool,3,True,False,True
0,V52_C_E2_C5_2T,evaluation_once,,True,False,True
0,V52_C_E3_C6_1T,development_pool,2,True,False,True
0,V52_C_E4_C7_1T,development_pool,0,True,False,True
0,V52_C_E5_C9_1T,development_pool,3,True,False,True
0,V52_C_E6_C10_1T,development_pool,1,True,False,True
0,V52_C_E7_C11_2T,development_pool,0,True,False,True
0,V52_C_E8_C12_2T,development_pool,2,True,False,True
1,BASE_C1_0T,development_pool,0,True,False,True
1,BASE_C2_0T,development_pool,1,True,False,True
1,BASE_C3_0T,development_pool,2,True,False,True
1,BASE_C8_0T,evaluation_once,,True,False,True
1,V40_A_E1_C4_2T,development_pool,3,True,False,True
1,V40_A_E2_C5_2T,development_pool,1,True,False,True
1,V40_A_E3_C6_1T,development_pool,2,True,False,True
1,V40_A_E4_C7_1T,development_pool,0,True,False,True
1,V40_A_E5_C9_1T,development_pool,3,True,False,True
1,V40_A_E6_C10_1T,development_pool,2,True,False,True
1,V40_A_E7_C11_2T,evaluation_once,,True,False,True
1,V40_A_E8_C12_2T,development_pool,0,True,False,True
1,V40_B_E1_C4_2T,development_pool,2,True,False,True
1,V40_B_E2_C5_2T,evaluation_once,,True,False,True
1,V40_B_E3_C6_1T,development_pool,0,True,False,True
1,V40_B_E4_C7_1T,development_pool,3,True,False,True
1,V40_B_E5_C9_1T,development_pool,1,True,False,True
1,V40_B_E6_C10_1T,evaluation_once,,True,False,True
1,V40_B_E7_C11_2T,development_pool,3,True,False,True
1,V40_B_E8_C12_2T,development_pool,1,True,False,True
1,V40_CPLUS_E1_C4_2T,development_pool,1,True,False,True
1,V40_CPLUS_E2_C5_2T,evaluation_once,,True,False,True
1,V40_CPLUS_E3_C6_1T,development_pool,0,True,False,True
1,V40_CPLUS_E4_C7_1T,evaluation_once,,True,False,True
1,V40_CPLUS_E5_C9_1T,development_pool,2,True,False,True
1,V40_CPLUS_E6_C10_1T,development_pool,3,True,False,True
1,V40_CPLUS_E7_C11_2T,development_pool,2,True,False,True
1,V40_CPLUS_E8_C12_2T,development_pool,3,True,False,True
1,V40_C_E1_C4_2T,development_pool,3,True,False,True
1,V40_C_E2_C5_2T,development_pool,0,True,False,True
1,V40_C_E3_C6_1T,evaluation_once,,True,False,True
1,V40_C_E4_C7_1T,development_pool,1,True,False,True
1,V40_C_E5_C9_1T,development_pool,3,True,False,True
1,V40_C_E6_C10_1T,development_pool,1,True,False,True
1,V40_C_E7_C11_2T,development_pool,2,True,False,True
1,V40_C_E8_C12_2T,evaluation_once,,True,False,True
1,V52_A_E1_C4_2T,evaluation_once,,True,False,True
1,V52_A_E2_C5_2T,development_pool,1,True,False,True
1,V52_A_E3_C6_1T,evaluation_once,,True,False,True
1,V52_A_E4_C7_1T,development_pool,3,True,False,True
1,V52_A_E5_C9_1T,development_pool,0,True,False,True
1,V52_A_E6_C10_1T,development_pool,1,True,False,True
1,V52_A_E7_C11_2T,development_pool,2,True,False,True
1,V52_A_E8_C12_2T,development_pool,0,True,False,True
1,V52_B_E1_C4_2T,development_pool,3,True,False,True
1,V52_B_E2_C5_2T,development_pool,0,True,False,True
1,V52_B_E3_C6_1T,development_pool,2,True,False,True
1,V52_B_E4_C7_1T,development_pool,3,True,False,True
1,V52_B_E5_C9_1T,evaluation_once,,True,False,True
1,V52_B_E6_C10_1T,development_pool,0,True,False,True
1,V52_B_E7_C11_2T,development_pool,2,True,False,True
1,V52_B_E8_C12_2T,development_pool,1,True,False,True
1,V52_CPLUS_E1_C4_2T,evaluation_once,,True,False,True
1,V52_CPLUS_E2_C5_2T,development_pool,1,True,False,True
1,V52_CPLUS_E3_C6_1T,development_pool,1,True,False,True
1,V52_CPLUS_E4_C7_1T,development_pool,2,True,False,True
1,V52_CPLUS_E5_C9_1T,development_pool,3,True,False,True
1,V52_CPLUS_E6_C10_1T,development_pool,1,True,False,True
1,V52_CPLUS_E7_C11_2T,development_pool,0,True,False,True
1,V52_CPLUS_E8_C12_2T,development_pool,3,True,False,True
1,V52_C_E1_C4_2T,development_pool,0,True,False,True
1,V52_C_E2_C5_2T,development_pool,2,True,False,True
1,V52_C_E3_C6_1T,development_pool,2,True,False,True
1,V52_C_E4_C7_1T,development_pool,0,True,False,True
1,V52_C_E5_C9_1T,development_pool,1,True,False,True
1,V52_C_E6_C10_1T,evaluation_once,,True,False,True
1,V52_C_E7_C11_2T,evaluation_once,,True,False,True
1,V52_C_E8_C12_2T,development_pool,3,True,False,True
2,BASE_C1_0T,development_pool,0,True,False,True
2,BASE_C2_0T,evaluation_once,,True,False,True
2,BASE_C3_0T,development_pool,1,True,False,True
2,BASE_C8_0T,development_pool,2,True,False,True
2,V40_A_E1_C4_2T,development_pool,1,True,False,True
2,V40_A_E2_C5_2T,development_pool,3,True,False,True
2,V40_A_E3_C6_1T,development_pool,3,True,False,True
2,V40_A_E4_C7_1T,evaluation_once,,True,False,True
2,V40_A_E5_C9_1T,evaluation_once,,True,False,True
2,V40_A_E6_C10_1T,development_pool,0,True,False,True
2,V40_A_E7_C11_2T,development_pool,0,True,False,True
2,V40_A_E8_C12_2T,development_pool,2,True,False,True
2,V40_B_E1_C4_2T,evaluation_once,,True,False,True
2,V40_B_E2_C5_2T,development_pool,0,True,False,True
2,V40_B_E3_C6_1T,development_pool,1,True,False,True
2,V40_B_E4_C7_1T,development_pool,2,True,False,True
2,V40_B_E5_C9_1T,evaluation_once,,True,False,True
2,V40_B_E6_C10_1T,development_pool,0,True,False,True
2,V40_B_E7_C11_2T,development_pool,2,True,False,True
2,V40_B_E8_C12_2T,development_pool,3,True,False,True
2,V40_CPLUS_E1_C4_2T,development_pool,0,True,False,True
2,V40_CPLUS_E2_C5_2T,development_pool,1,True,False,True
2,V40_CPLUS_E3_C6_1T,development_pool,2,True,False,True
2,V40_CPLUS_E4_C7_1T,development_pool,1,True,False,True
2,V40_CPLUS_E5_C9_1T,development_pool,3,True,False,True
2,V40_CPLUS_E6_C10_1T,development_pool,1,True,False,True
2,V40_CPLUS_E7_C11_2T,development_pool,3,True,False,True
2,V40_CPLUS_E8_C12_2T,evaluation_once,,True,False,True
2,V40_C_E1_C4_2T,evaluation_once,,True,False,True
2,V40_C_E2_C5_2T,development_pool,1,True,False,True
2,V40_C_E3_C6_1T,development_pool,1,True,False,True
2,V40_C_E4_C7_1T,development_pool,2,True,False,True
2,V40_C_E5_C9_1T,development_pool,3,True,False,True
2,V40_C_E6_C10_1T,development_pool,0,True,False,True
2,V40_C_E7_C11_2T,development_pool,3,True,False,True
2,V40_C_E8_C12_2T,development_pool,0,True,False,True
2,V52_A_E1_C4_2T,development_pool,3,True,False,True
2,V52_A_E2_C5_2T,development_pool,0,True,False,True
2,V52_A_E3_C6_1T,development_pool,2,True,False,True
2,V52_A_E4_C7_1T,development_pool,3,True,False,True
2,V52_A_E5_C9_1T,development_pool,1,True,False,True
2,V52_A_E6_C10_1T,evaluation_once,,True,False,True
2,V52_A_E7_C11_2T,development_pool,1,True,False,True
2,V52_A_E8_C12_2T,development_pool,2,True,False,True
2,V52_B_E1_C4_2T,development_pool,3,True,False,True
2,V52_B_E2_C5_2T,evaluation_once,,True,False,True
2,V52_B_E3_C6_1T,development_pool,2,True,False,True
2,V52_B_E4_C7_1T,development_pool,0,True,False,True
2,V52_B_E5_C9_1T,development_pool,1,True,False,True
2,V52_B_E6_C10_1T,development_pool,3,True,False,True
2,V52_B_E7_C11_2T,evaluation_once,,True,False,True
2,V52_B_E8_C12_2T,development_pool,1,True,False,True
2,V52_CPLUS_E1_C4_2T,development_pool,1,True,False,True
2,V52_CPLUS_E2_C5_2T,development_pool,2,True,False,True
2,V52_CPLUS_E3_C6_1T,evaluation_once,,True,False,True
2,V52_CPLUS_E4_C7_1T,development_pool,2,True,False,True
2,V52_CPLUS_E5_C9_1T,development_pool,3,True,False,True
2,V52_CPLUS_E6_C10_1T,development_pool,0,True,False,True
2,V52_CPLUS_E7_C11_2T,evaluation_once,,True,False,True
2,V52_CPLUS_E8_C12_2T,development_pool,3,True,False,True
2,V52_C_E1_C4_2T,development_pool,3,True,False,True
2,V52_C_E2_C5_2T,development_pool,2,True,False,True
2,V52_C_E3_C6_1T,evaluation_once,,True,False,True
2,V52_C_E4_C7_1T,development_pool,0,True,False,True
2,V52_C_E5_C9_1T,development_pool,1,True,False,True
2,V52_C_E6_C10_1T,development_pool,2,True,False,True
2,V52_C_E7_C11_2T,development_pool,0,True,False,True
2,V52_C_E8_C12_2T,evaluation_once,,True,False,True
3,BASE_C1_0T,development_pool,0,True,False,True
3,BASE_C2_0T,development_pool,1,True,False,True
3,BASE_C3_0T,evaluation_once,,True,False,True
3,BASE_C8_0T,development_pool,2,True,False,True
3,V40_A_E1_C4_2T,development_pool,3,True,False,True
3,V40_A_E2_C5_2T,evaluation_once,,True,False,True
3,V40_A_E3_C6_1T,development_pool,2,True,False,True
3,V40_A_E4_C7_1T,development_pool,0,True,False,True
3,V40_A_E5_C9_1T,development_pool,2,True,False,True
3,V40_A_E6_C10_1T,development_pool,3,True,False,True
3,V40_A_E7_C11_2T,development_pool,1,True,False,True
3,V40_A_E8_C12_2T,development_pool,1,True,False,True
3,V40_B_E1_C4_2T,development_pool,0,True,False,True
3,V40_B_E2_C5_2T,development_pool,2,True,False,True
3,V40_B_E3_C6_1T,development_pool,1,True,False,True
3,V40_B_E4_C7_1T,development_pool,3,True,False,True
3,V40_B_E5_C9_1T,development_pool,0,True,False,True
3,V40_B_E6_C10_1T,development_pool,0,True,False,True
3,V40_B_E7_C11_2T,development_pool,2,True,False,True
3,V40_B_E8_C12_2T,evaluation_once,,True,False,True
3,V40_CPLUS_E1_C4_2T,development_pool,1,True,False,True
3,V40_CPLUS_E2_C5_2T,development_pool,2,True,False,True
3,V40_CPLUS_E3_C6_1T,evaluation_once,,True,False,True
3,V40_CPLUS_E4_C7_1T,development_pool,3,True,False,True
3,V40_CPLUS_E5_C9_1T,development_pool,3,True,False,True
3,V40_CPLUS_E6_C10_1T,evaluation_once,,True,False,True
3,V40_CPLUS_E7_C11_2T,development_pool,0,True,False,True
3,V40_CPLUS_E8_C12_2T,development_pool,1,True,False,True
3,V40_C_E1_C4_2T,development_pool,3,True,False,True
3,V40_C_E2_C5_2T,evaluation_once,,True,False,True
3,V40_C_E3_C6_1T,development_pool,0,True,False,True
3,V40_C_E4_C7_1T,development_pool,1,True,False,True
3,V40_C_E5_C9_1T,development_pool,3,True,False,True
3,V40_C_E6_C10_1T,evaluation_once,,True,False,True
3,V40_C_E7_C11_2T,development_pool,0,True,False,True
3,V40_C_E8_C12_2T,development_pool,2,True,False,True
3,V52_A_E1_C4_2T,development_pool,1,True,False,True
3,V52_A_E2_C5_2T,development_pool,0,True,False,True
3,V52_A_E3_C6_1T,development_pool,2,True,False,True
3,V52_A_E4_C7_1T,development_pool,3,True,False,True
3,V52_A_E5_C9_1T,development_pool,1,True,False,True
3,V52_A_E6_C10_1T,development_pool,0,True,False,True
3,V52_A_E7_C11_2T,evaluation_once,,True,False,True
3,V52_A_E8_C12_2T,evaluation_once,,True,False,True
3,V52_B_E1_C4_2T,evaluation_once,,True,False,True
3,V52_B_E2_C5_2T,development_pool,1,True,False,True
3,V52_B_E3_C6_1T,development_pool,3,True,False,True
3,V52_B_E4_C7_1T,evaluation_once,,True,False,True
3,V52_B_E5_C9_1T,development_pool,2,True,False,True
3,V52_B_E6_C10_1T,development_pool,2,True,False,True
3,V52_B_E7_C11_2T,development_pool,3,True,False,True
3,V52_B_E8_C12_2T,development_pool,3,True,False,True
3,V52_CPLUS_E1_C4_2T,development_pool,3,True,False,True
3,V52_CPLUS_E2_C5_2T,development_pool,2,True,False,True
3,V52_CPLUS_E3_C6_1T,development_pool,0,True,False,True
3,V52_CPLUS_E4_C7_1T,development_pool,0,True,False,True
3,V52_CPLUS_E5_C9_1T,evaluation_once,,True,False,True
3,V52_CPLUS_E6_C10_1T,development_pool,1,True,False,True
3,V52_CPLUS_E7_C11_2T,development_pool,1,True,False,True
3,V52_CPLUS_E8_C12_2T,development_pool,3,True,False,True
3,V52_C_E1_C4_2T,development_pool,2,True,False,True
3,V52_C_E2_C5_2T,development_pool,0,True,False,True
3,V52_C_E3_C6_1T,development_pool,1,True,False,True
3,V52_C_E4_C7_1T,evaluation_once,,True,False,True
3,V52_C_E5_C9_1T,development_pool,2,True,False,True
3,V52_C_E6_C10_1T,development_pool,1,True,False,True
3,V52_C_E7_C11_2T,development_pool,0,True,False,True
3,V52_C_E8_C12_2T,development_pool,3,True,False,True
4,BASE_C1_0T,development_pool,1,True,False,True
4,BASE_C2_0T,development_pool,2,True,False,True
4,BASE_C3_0T,development_pool,3,True,False,True
4,BASE_C8_0T,development_pool,0,True,False,True
4,V40_A_E1_C4_2T,evaluation_once,,True,False,True
4,V40_A_E2_C5_2T,development_pool,1,True,False,True
4,V40_A_E3_C6_1T,development_pool,0,True,False,True
4,V40_A_E4_C7_1T,development_pool,0,True,False,True
4,V40_A_E5_C9_1T,development_pool,3,True,False,True
4,V40_A_E6_C10_1T,evaluation_once,,True,False,True
4,V40_A_E7_C11_2T,development_pool,2,True,False,True
4,V40_A_E8_C12_2T,development_pool,3,True,False,True
4,V40_B_E1_C4_2T,development_pool,1,True,False,True
4,V40_B_E2_C5_2T,development_pool,0,True,False,True
4,V40_B_E3_C6_1T,evaluation_once,,True,False,True
4,V40_B_E4_C7_1T,evaluation_once,,True,False,True
4,V40_B_E5_C9_1T,development_pool,1,True,False,True
4,V40_B_E6_C10_1T,development_pool,0,True,False,True
4,V40_B_E7_C11_2T,development_pool,3,True,False,True
4,V40_B_E8_C12_2T,development_pool,1,True,False,True
4,V40_CPLUS_E1_C4_2T,development_pool,2,True,False,True
4,V40_CPLUS_E2_C5_2T,development_pool,3,True,False,True
4,V40_CPLUS_E3_C6_1T,development_pool,2,True,False,True
4,V40_CPLUS_E4_C7_1T,development_pool,3,True,False,True
4,V40_CPLUS_E5_C9_1T,evaluation_once,,True,False,True
4,V40_CPLUS_E6_C10_1T,development_pool,1,True,False,True
4,V40_CPLUS_E7_C11_2T,evaluation_once,,True,False,True
4,V40_CPLUS_E8_C12_2T,development_pool,0,True,False,True
4,V40_C_E1_C4_2T,development_pool,3,True,False,True
4,V40_C_E2_C5_2T,development_pool,0,True,False,True
4,V40_C_E3_C6_1T,development_pool,2,True,False,True
4,V40_C_E4_C7_1T,development_pool,1,True,False,True
4,V40_C_E5_C9_1T,development_pool,2,True,False,True
4,V40_C_E6_C10_1T,development_pool,3,True,False,True
4,V40_C_E7_C11_2T,evaluation_once,,True,False,True
4,V40_C_E8_C12_2T,development_pool,2,True,False,True
4,V52_A_E1_C4_2T,development_pool,1,True,False,True
4,V52_A_E2_C5_2T,evaluation_once,,True,False,True
4,V52_A_E3_C6_1T,development_pool,2,True,False,True
4,V52_A_E4_C7_1T,development_pool,3,True,False,True
4,V52_A_E5_C9_1T,development_pool,1,True,False,True
4,V52_A_E6_C10_1T,development_pool,0,True,False,True
4,V52_A_E7_C11_2T,development_pool,2,True,False,True
4,V52_A_E8_C12_2T,development_pool,1,True,False,True
4,V52_B_E1_C4_2T,development_pool,2,True,False,True
4,V52_B_E2_C5_2T,development_pool,2,True,False,True
4,V52_B_E3_C6_1T,development_pool,0,True,False,True
4,V52_B_E4_C7_1T,development_pool,3,True,False,True
4,V52_B_E5_C9_1T,development_pool,2,True,False,True
4,V52_B_E6_C10_1T,development_pool,2,True,False,True
4,V52_B_E7_C11_2T,development_pool,3,True,False,True
4,V52_B_E8_C12_2T,evaluation_once,,True,False,True
4,V52_CPLUS_E1_C4_2T,development_pool,1,True,False,True
4,V52_CPLUS_E2_C5_2T,development_pool,0,True,False,True
4,V52_CPLUS_E3_C6_1T,development_pool,1,True,False,True
4,V52_CPLUS_E4_C7_1T,evaluation_once,,True,False,True
4,V52_CPLUS_E5_C9_1T,development_pool,0,True,False,True
4,V52_CPLUS_E6_C10_1T,evaluation_once,,True,False,True
4,V52_CPLUS_E7_C11_2T,development_pool,3,True,False,True
4,V52_CPLUS_E8_C12_2T,development_pool,3,True,False,True
4,V52_C_E1_C4_2T,evaluation_once,,True,False,True
4,V52_C_E2_C5_2T,development_pool,0,True,False,True
4,V52_C_E3_C6_1T,development_pool,3,True,False,True
4,V52_C_E4_C7_1T,development_pool,1,True,False,True
4,V52_C_E5_C9_1T,evaluation_once,,True,False,True
4,V52_C_E6_C10_1T,development_pool,0,True,False,True
4,V52_C_E7_C11_2T,development_pool,1,True,False,True
4,V52_C_E8_C12_2T,development_pool,0,True,False,True
